model_file,model_name,RMSE
Left.Amygdala_female.Rdata,mfp.female.model,158.67754668565837
Left.Amygdala_male.Rdata,mfp.male.model,182.5755282548932
Left.Caudate_female.Rdata,mfp.female.model,182.80416611898198
Left.Caudate_male.Rdata,mfp.male.model,210.58683512598557
Left.Cerebellum.Cortex_female.Rdata,mfp.female.model,1633.7528125303986
Left.Cerebellum.Cortex_male.Rdata,mfp.male.model,2028.530313679973
Left.Hippocampus_female.Rdata,mfp.female.model,241.52638576373317
Left.Hippocampus_male.Rdata,mfp.male.model,284.80642909323933
Left.Pallidum_female.Rdata,mfp.female.model,197.16363591056853
Left.Pallidum_male.Rdata,mfp.male.model,222.72982951833782
Left.Putamen_female.Rdata,mfp.female.model,361.9387120067961
Left.Putamen_male.Rdata,mfp.male.model,416.44581376183953
Left.Thalamus_female.Rdata,mfp.female.model,568.8616807537707
Left.Thalamus_male.Rdata,mfp.male.model,663.1484004227887
lh_bankssts_volume_female.Rdata,mfp.female.model,420.4185454325054
lh_bankssts_volume_male.Rdata,mfp.male.model,505.08662924154265
lh_caudalanteriorcingulate_volume_female.Rdata,mfp.female.model,619.2251688889436
lh_caudalanteriorcingulate_volume_male.Rdata,mfp.male.model,667.8290186938008
lh_caudalmiddlefrontal_volume_female.Rdata,mfp.female.model,950.8100888645015
lh_caudalmiddlefrontal_volume_male.Rdata,mfp.male.model,1051.4139338925463
lh_cuneus_volume_female.Rdata,mfp.female.model,428.08660864674823
lh_cuneus_volume_male.Rdata,mfp.male.model,491.104998364189
lh_entorhinal_volume_female.Rdata,mfp.female.model,322.11824997878443
lh_entorhinal_volume_male.Rdata,mfp.male.model,380.1444615556981
lh_frontalpole_volume_female.Rdata,mfp.female.model,179.09653121093936
lh_frontalpole_volume_male.Rdata,mfp.male.model,192.2556914789382
lh_fusiform_volume_female.Rdata,mfp.female.model,1019.390282818592
lh_fusiform_volume_male.Rdata,mfp.male.model,1129.4927356081814
lh_inferiorparietal_volume_female.Rdata,mfp.female.model,1437.8752800219384
lh_inferiorparietal_volume_male.Rdata,mfp.male.model,1727.6066043829721
lh_inferiortemporal_volume_female.Rdata,mfp.female.model,1217.0916516577438
lh_inferiortemporal_volume_male.Rdata,mfp.male.model,1372.0537901807593
lh_insula_volume_female.Rdata,mfp.female.model,430.19481276566324
lh_insula_volume_male.Rdata,mfp.male.model,498.2499723529788
lh_isthmuscingulate_volume_female.Rdata,mfp.female.model,368.9077325995297
lh_isthmuscingulate_volume_male.Rdata,mfp.male.model,438.9810043330405
lh_lateraloccipital_volume_female.Rdata,mfp.female.model,1159.5021884844532
lh_lateraloccipital_volume_male.Rdata,mfp.male.model,1329.4766973762773
lh_lateralorbitofrontal_volume_female.Rdata,mfp.female.model,485.99913371533137
lh_lateralorbitofrontal_volume_male.Rdata,mfp.male.model,550.3414410117994
lh_lingual_volume_female.Rdata,mfp.female.model,713.1730380599249
lh_lingual_volume_male.Rdata,mfp.male.model,815.4265701736243
lh_medialorbitofrontal_volume_female.Rdata,mfp.female.model,543.0093023023643
lh_medialorbitofrontal_volume_male.Rdata,mfp.male.model,605.9410825795072
lh_middletemporal_volume_female.Rdata,mfp.female.model,1019.5041032496346
lh_middletemporal_volume_male.Rdata,mfp.male.model,1177.6240999832794
lh_paracentral_volume_female.Rdata,mfp.female.model,514.3040963847577
lh_paracentral_volume_male.Rdata,mfp.male.model,590.0066896057806
lh_parahippocampal_volume_female.Rdata,mfp.female.model,280.87624023106247
lh_parahippocampal_volume_male.Rdata,mfp.male.model,311.788956801367
lh_parsopercularis_volume_female.Rdata,mfp.female.model,677.8747799544674
lh_parsopercularis_volume_male.Rdata,mfp.male.model,817.7832878424622
lh_parsorbitalis_volume_female.Rdata,mfp.female.model,326.94372931033615
lh_parsorbitalis_volume_male.Rdata,mfp.male.model,353.6028252066416
lh_parstriangularis_volume_female.Rdata,mfp.female.model,607.2699973577746
lh_parstriangularis_volume_male.Rdata,mfp.male.model,703.1637983422277
lh_pericalcarine_volume_female.Rdata,mfp.female.model,256.4741522458173
lh_pericalcarine_volume_male.Rdata,mfp.male.model,295.1191687036376
lh_postcentral_volume_female.Rdata,mfp.female.model,986.7795932895986
lh_postcentral_volume_male.Rdata,mfp.male.model,1114.0308357822446
lh_posteriorcingulate_volume_female.Rdata,mfp.female.model,483.8885912522708
lh_posteriorcingulate_volume_male.Rdata,mfp.male.model,552.6876027191166
lh_precentral_volume_female.Rdata,mfp.female.model,1021.8778533506354
lh_precentral_volume_male.Rdata,mfp.male.model,1179.2720372810343
lh_precuneus_volume_female.Rdata,mfp.female.model,719.5273584707265
lh_precuneus_volume_male.Rdata,mfp.male.model,844.1721775525147
lh_rostralanteriorcingulate_volume_female.Rdata,mfp.female.model,497.12009682916226
lh_rostralanteriorcingulate_volume_male.Rdata,mfp.male.model,521.6663777581822
lh_rostralmiddlefrontal_volume_female.Rdata,mfp.female.model,1328.479344268444
lh_rostralmiddlefrontal_volume_male.Rdata,mfp.male.model,1511.5582691855175
lh_superiorfrontal_volume_female.Rdata,mfp.female.model,1547.7651659602566
lh_superiorfrontal_volume_male.Rdata,mfp.male.model,1719.6581398035537
lh_superiorparietal_volume_female.Rdata,mfp.female.model,1176.9463102626164
lh_superiorparietal_volume_male.Rdata,mfp.male.model,1334.3215870425934
lh_superiortemporal_volume_female.Rdata,mfp.female.model,955.941264436439
lh_superiortemporal_volume_male.Rdata,mfp.male.model,1117.6097953395524
lh_supramarginal_volume_female.Rdata,mfp.female.model,1300.5851648033429
lh_supramarginal_volume_male.Rdata,mfp.male.model,1545.0716892057985
lh_temporalpole_volume_female.Rdata,mfp.female.model,392.0751949389797
lh_temporalpole_volume_male.Rdata,mfp.male.model,433.1240626470739
lh_transversetemporal_volume_female.Rdata,mfp.female.model,181.0283562784398
lh_transversetemporal_volume_male.Rdata,mfp.male.model,205.93619195895124
